,Price (USD),Replies,Likes,Retweets,Tweets
2020-12-08,18340.0,12151.0,134899.0,17842.0,17213.0
2020-12-09,18561.0,11775.0,114689.0,17638.0,17472.0
2020-12-10,18295.0,11576.0,103828.0,15902.0,15900.0
2020-12-11,18102.0,16430.0,113910.0,17996.0,15657.0
2020-12-12,18808.0,12534.0,106659.0,16067.0,13901.0
2020-12-13,19180.0,16973.0,113041.0,15332.0,14681.0
2020-12-14,19283.21121125,12018.0,111574.0,17440.0,15946.0
2020-12-15,19468.70386284,14275.0,116942.0,17839.0,17051.0
2020-12-16,21342.0,47701.0,532762.0,69187.0,47315.0
2020-12-17,22794.0,41942.0,376686.0,50580.0,39869.0
2020-12-18,23065.0,18011.0,151591.0,23875.0,22393.0
2020-12-19,23827.0,21458.0,200327.0,24780.0,19997.0
2020-12-20,23485.674722,23613.0,194962.0,25712.0,19791.0
2020-12-21,22850.0,20311.0,166816.0,28451.0,20389.0
2020-12-22,23727.0,16370.0,144199.0,22361.0,17227.0
2020-12-23,23259.0,22885.0,122538.0,22073.0,17252.0
2020-12-24,23754.0,12211.0,108370.0,19558.0,15054.0
2020-12-25,24701.0,15622.0,169028.0,21956.0,15564.0
2020-12-26,26411.0,35302.0,325442.0,42402.0,25551.0
2020-12-27,26381.0,29850.0,310330.0,41269.0,29343.0
2020-12-28,27094.0,16418.0,138625.0,21797.0,21097.0
2020-12-29,27228.0,29043.0,175723.0,31068.0,21432.0
2020-12-30,28805.0,47959.0,252423.0,49265.0,25472.0
2020-12-31,28948.0,26025.0,231346.0,32447.0,22770.0
2021-01-01,29311.114,18214.0,163938.0,28579.0,17349.0
2021-01-02,32000.0,61369.0,561118.0,84483.0,42647.0
2021-01-03,33205.0,35459.0,427732.0,72324.0,38372.0
2021-01-04,31928.0,27822.0,225248.0,33977.0,29263.0
2021-01-05,34055.0,24759.0,208049.0,32240.0,25251.0
2021-01-06,36814.0,30246.0,296005.0,43779.0,33831.0
2021-01-07,39117.0,53046.0,497372.0,79762.0,42841.0
2021-01-08,40588.0,62795.0,384144.0,73450.0,36387.0
2021-01-09,40300.0,24537.0,238699.0,33857.0,28552.0
2021-01-10,38487.947452,28735.0,265600.0,36340.0,24994.0
2021-01-11,35460.0,45089.0,386563.0,53311.0,40969.0
2021-01-12,33909.0,38016.0,258162.0,48408.0,28417.0
2021-01-13,37199.0,35108.0,274750.0,54006.0,27037.0
2021-01-14,39141.0,31452.0,349533.0,53259.0,31685.0
2021-01-15,36800.1894384,28798.0,249842.0,42407.0,27008.0
2021-01-16,36244.0,21235.0,187641.0,32137.0,19820.0
2021-01-17,36032.0,18180.0,173637.0,35948.0,18896.0
2021-01-18,36733.0,23154.0,215600.0,39457.0,24081.0
2021-01-19,36325.0,37257.0,205876.0,48048.0,26154.0
2021-01-20,35635.0,22299.0,204002.0,33466.0,23548.0
2021-01-21,31150.0,29992.0,283254.0,44110.0,30433.0
2021-01-22,32988.0,32730.0,273425.0,37675.0,29188.0
2021-01-23,32063.97933315,13572.0,113431.0,19964.0,19291.0
2021-01-24,32400.0,14401.0,157187.0,25283.0,17630.0
2021-01-25,32438.0,21012.0,201124.0,38371.0,25184.0
2021-01-26,32607.221115,15189.0,173359.0,26062.0,22062.0
2021-01-27,30280.0,20967.0,220530.0,37245.0,24243.0
2021-01-28,33309.0,21589.0,339740.0,55075.0,34924.0
2021-01-29,34273.0,66181.0,894223.0,122270.0,65877.0
2021-01-30,34365.930096,24490.0,273719.0,41781.0,30935.0
2021-01-31,33147.0,20683.0,220673.0,36331.0,26244.0
2021-02-01,33548.0,21363.0,294571.0,50027.0,30727.0
2021-02-02,35705.0,36915.0,333407.0,68471.0,29036.0
2021-02-03,37473.0,29383.0,321059.0,54920.0,29984.0
2021-02-04,36902.0,21662.0,247377.0,38982.0,29008.0
2021-02-05,37921.0,31800.0,365456.0,90495.0,32169.0
2021-02-06,39245.0,35081.0,412667.0,61885.0,31462.0
2021-02-07,38990.0,24922.0,231534.0,37672.0,21588.0
2021-02-08,46118.0,76640.0,1109225.0,164990.0,66957.0
2021-02-09,46572.0,43460.0,572900.0,94850.0,46838.0
2021-02-10,44947.0,44212.0,421834.0,79616.0,40722.0
2021-02-11,47794.0,50943.0,500979.0,82795.0,36225.0
2021-02-12,47467.0,47861.0,477406.0,83444.0,32631.0
2021-02-13,47100.0,31891.0,305047.0,49044.0,26134.0
2021-02-14,48782.0,32928.0,384525.0,53924.0,33118.0
2021-02-15,47931.0,35512.0,381176.0,65766.0,30048.0
2021-02-16,49192.0,44911.0,536160.0,78272.0,40798.0
2021-02-17,52109.0,69715.0,672697.0,99766.0,42840.0
2021-02-18,51599.0,34447.0,333789.0,56963.0,31033.0
2021-02-19,55699.0,59973.0,732320.0,106228.0,47928.0
2021-02-20,55800.0,34211.0,413761.0,56324.0,39260.0
2021-02-21,57357.0,39444.0,467435.0,68443.0,34354.0
2021-02-22,53923.0,43074.0,398076.0,74078.0,41781.0
2021-02-23,48429.0,48498.0,576346.0,80496.0,48899.0
2021-02-24,49725.0,40707.0,430674.0,74684.0,40087.0
2021-02-25,47147.0,35513.0,280257.0,51395.0,32639.0
2021-02-26,46143.0,40884.0,380741.0,57770.0,30617.0
2021-02-27,46083.0,23694.0,262166.0,38921.0,24615.0
2021-02-28,45109.18815,29925.0,291673.0,40307.0,28591.0
2021-03-01,49620.0,54304.0,441491.0,75295.0,32755.0
2021-03-02,48399.0,38762.0,319804.0,75617.0,30130.0
2021-03-03,50804.0,75939.0,397139.0,86825.0,30030.0
2021-03-04,48495.03736466,28786.0,259492.0,39369.0,27021.0
2021-03-05,48888.0,42647.0,296144.0,56973.0,27439.0
2021-03-06,48896.0,24131.0,235664.0,44253.0,24594.0
2021-03-07,,27302.0,269855.0,52893.0,25072.0
2021-03-08,52283.46065832,29179.0,320512.0,63738.0,32534.0
2021-03-09,54729.0,30218.0,366857.0,52361.0,32770.0
2021-03-10,56227.0,31615.0,344298.0,48646.0,34158.0
2021-03-11,57885.0,50792.0,331993.0,65784.0,36065.0
2021-03-12,57371.0,33148.0,300484.0,50531.0,36110.0
2021-03-13,61264.0,51875.0,700819.0,102989.0,48503.0
2021-03-14,59519.0,38462.0,297656.0,58726.0,31427.0
2021-03-15,56100.0,44953.0,316345.0,70069.0,35645.0
2021-03-16,56420.0,36972.0,297717.0,63203.0,34109.0
2021-03-17,58500.0,57845.0,448861.0,84816.0,37923.0
2021-03-18,57844.0,34004.0,323895.0,62602.0,42249.0
2021-03-19,58338.0,57985.0,331082.0,104147.0,42857.0
2021-03-20,58371.0,26635.0,259086.0,43188.0,32418.0
2021-03-21,57685.0,26262.0,259862.0,61918.0,27598.0
2021-03-22,54423.0,31631.0,284976.0,60961.0,36402.0
2021-03-23,54666.0,30736.0,303873.0,60132.0,33495.0
2021-03-24,52435.0,52321.0,547484.0,96190.0,55258.0
2021-03-25,51861.0,48851.0,387312.0,106576.0,54400.0
2021-03-26,54454.0,39000.0,333391.0,99566.0,38779.0
2021-03-27,56324.0,24272.0,271227.0,47451.0,36334.0
2021-03-28,55498.0,31341.0,251820.0,46823.0,29008.0
2021-03-29,57760.03864647,47125.0,301178.0,72457.0,39947.0
2021-03-30,58701.0,40665.0,373486.0,63850.0,48598.0
2021-03-31,58800.0,66261.0,459346.0,115405.0,53782.0
2021-04-01,58911.0,48115.0,366671.0,65388.0,45194.0
2021-04-02,58825.0,34992.0,281343.0,54987.0,29622.0
2021-04-03,57526.0,29336.0,270300.0,45973.0,26142.0
2021-04-04,58124.0,39908.0,286202.0,65968.0,27269.0
2021-04-05,58895.0,44771.0,365420.0,97265.0,30298.0
2021-04-06,57926.0,33729.0,286857.0,64331.0,28079.0
2021-04-07,56511.0,42970.0,289222.0,86361.0,29634.0
2021-04-08,57861.0,37663.0,289287.0,67839.0,27135.0
2021-04-09,58126.0,42264.0,342364.0,109141.0,26733.0
2021-04-10,59279.0,47065.0,401395.0,105530.0,29959.0
2021-04-11,60100.0,40554.0,351421.0,101483.0,24086.0
2021-04-12,60010.0,51437.0,408011.0,109827.0,29019.0
2021-04-13,63200.0,67081.0,709855.0,154127.0,39610.0
2021-04-14,62832.0,68133.0,546815.0,155644.0,37168.0
2021-04-15,63332.0,39022.0,300886.0,60330.0,29063.0
2021-04-16,61741.0,59385.0,348489.0,91457.0,32031.0
2021-04-17,60509.0,45354.0,287133.0,87623.0,23476.0
2021-04-18,56602.25981852,71092.0,772355.0,127193.0,53271.0
2021-04-19,55924.0,55908.0,356555.0,91026.0,32566.0
2021-04-20,56301.0,37461.0,353802.0,68693.0,32849.0
2021-04-21,54198.0,44257.0,330175.0,99285.0,30306.0
2021-04-22,51531.0,60661.0,440520.0,114743.0,35425.0
2021-04-23,50652.0,61900.0,555703.0,107050.0,46212.0
2021-04-24,50838.02848208,49670.0,332679.0,81501.0,27904.0
2021-04-25,48677.0,47452.0,317513.0,75080.0,26486.0
2021-04-26,53721.263134,61151.0,569484.0,106627.0,34995.0
2021-04-27,54937.0,43011.0,377791.0,67870.0,33513.0
2021-04-28,54557.0,43171.0,364356.0,76168.0,33040.0
2021-04-29,53334.0,44647.0,337186.0,85741.0,33060.0
2021-04-30,57076.0,46929.0,371261.0,105572.0,34828.0
2021-05-01,57564.0,45416.0,302901.0,67870.0,29888.0
2021-05-02,56285.0,30300.0,267928.0,74408.0,28477.0
2021-05-03,57230.0,31637.0,295267.0,55973.0,33573.0
2021-05-04,53955.0,41212.0,304224.0,69416.0,33822.0
2021-05-05,57397.0,38913.0,364126.0,89388.0,34877.0
2021-05-06,56426.0,41799.0,333780.0,99412.0,34726.0
2021-05-07,56960.8923737,64387.0,421083.0,143777.0,36460.0
2021-05-08,58659.0,36296.0,271922.0,61828.0,29204.0
2021-05-09,58029.0,27616.0,221224.0,57691.0,27121.0
2021-05-10,55953.0,35839.0,336498.0,64228.0,32660.0
2021-05-11,56472.0,36151.0,275052.0,56410.0,31464.0
2021-05-12,52580.0,54571.0,586352.0,103358.0,38757.0
2021-05-13,49471.0,96040.0,1147987.0,190546.0,74739.0
2021-05-14,49955.0,60571.0,559327.0,123363.0,38648.0
2021-05-15,48213.53035729,42894.0,464833.0,93742.0,31697.0
2021-05-16,45788.38294596,78369.0,854856.0,123795.0,49800.0
2021-05-17,42930.0,81574.0,780845.0,126677.0,62991.0
2021-05-18,43159.0,61468.0,547975.0,103506.0,46738.0
2021-05-19,39511.0,167798.0,1786287.0,289109.0,119276.0
2021-05-20,39954.0,77076.0,742057.0,124658.0,60521.0
2021-05-21,36795.0,80526.0,869170.0,153744.0,61720.0
2021-05-22,37677.0,61120.0,595948.0,112740.0,50472.0
2021-05-23,34015.47186355,76266.0,718639.0,121185.0,52441.0
